airport,icao,iata,faa,lid
http://dbpedia.org/resource/Santa_Maria_Airport_%28Rio_Grande_do_Sul%29,SBSM,RIA,,
http://dbpedia.org/resource/Ardmore_Municipal_Airport,KADM,ADM,,
http://dbpedia.org/resource/Burlington_International_Airport,KBTV,BTV,,
http://dbpedia.org/resource/Beirut_Rafic_Hariri_International_Airport,OLBA,BEY,,
http://dbpedia.org/resource/Manchester-Boston_Regional_Airport,KMHT,MHT,,
http://dbpedia.org/resource/Youngstown-Warren_Regional_Airport,KYNG,YNG,,
http://dbpedia.org/resource/Mitiga_International_Airport,HLLM,MJI,,
http://dbpedia.org/resource/Cibao_International_Airport,MDST,STI,,
http://dbpedia.org/resource/Yuma_International_Airport,KNYL,,,
http://dbpedia.org/resource/Singapore_Changi_Airport,WSSS,,,
http://dbpedia.org/resource/Wattisham_Airfield,EGUW,,,
http://dbpedia.org/resource/Chu_Lai_International_Airport,VVCL,,,
http://dbpedia.org/resource/Kru%C5%A1evac_Airport,LYKS,,,
http://dbpedia.org/resource/Inhaca_Airport,FQIA,,,
http://dbpedia.org/resource/JMSDF_Hachinohe_Air_Base,RJSH,,,
http://dbpedia.org/resource/Victoria_STOLport,CYMY,,,
http://dbpedia.org/resource/Lisi%C4%8Dji_Jarak_Airport,LYBJ,,,
http://dbpedia.org/resource/Townsville_Airport,YBTL,,,
http://dbpedia.org/resource/Utsunomiya_Air_Field,RJOE,,,
http://dbpedia.org/resource/Kauhajoki_Airfield,EFKJ,,,
http://dbpedia.org/resource/Reno_Stead_Airport,KRTS,,,
http://dbpedia.org/resource/North_Texas_Regional_Airport,KGYI,,,
http://dbpedia.org/resource/Quonset_State_Airport,KOQU,,,
http://dbpedia.org/resource/Smederevska_Palanka_Airport,LYSP,,,
http://dbpedia.org/resource/Wickenby_Aerodrome,EGNW,,,
http://dbpedia.org/resource/Connemara_Airport,EICA,,,
http://dbpedia.org/resource/Clonbullogue_Aerodrome,EICL,,,
http://dbpedia.org/resource/Peronne-St_Quentin_Airport,LFAG,,,
http://dbpedia.org/resource/Canton-Plymouth-Mettetal_Airport,,,1D2,
http://dbpedia.org/resource/Columbus_Municipal_Airport_%28Indiana%29,,,BAK,
http://dbpedia.org/resource/San_P%C3%A9dro_Airport,,SPR,,
http://dbpedia.org/resource/Yuma_International_Airport,,,NYL,
http://dbpedia.org/resource/Quonset_State_Airport,,,OQU,
http://dbpedia.org/resource/Cecil_Field,,,VQQ,
